"customer_id","gender","senior_citizen","partner","dependents"
"3668-QPYBK","Male",False,False,False
"9237-HQITU","Female",False,False,True
"9305-CDSKC","Female",False,False,True
"7892-POOKP","Female",False,True,True
"0280-XJGEX","Male",False,False,True
"4190-MFLUW","Female",False,True,False
"8779-QRDMV","Male",True,False,False
"1066-JKSGK","Male",False,False,False
"6467-CHFZW","Male",False,True,True
"8665-UTDHZ","Male",False,True,False
"8773-HHUOZ","Female",False,False,False
"6047-YHPVI","Male",False,False,True
"5380-WJKOV","Male",False,False,True
"8168-UQWWF","Female",False,False,True
"7760-OYPDY","Female",False,False,True
"9420-LOJKX","Female",False,False,True
"7495-OOKFY","Female",True,True,True
"1658-BYGOY","Male",True,False,True
"5698-BQJOH","Female",False,False,True
"5919-TMRGD","Female",False,False,True
"9191-MYQKX","Female",False,True,True
"8637-XJIVR","Female",False,False,True
"0278-YXOOG","Male",False,False,False
"4598-XLKNJ","Female",True,True,True
"3192-NQECA","Male",False,True,False
"0486-HECZI","Male",False,True,True
"4846-WHAFZ","Female",True,True,True
"5299-RULOA","Female",False,True,True
"0404-SWRVG","Male",False,False,True
"4412-YLTKF","Female",True,False,True
"6207-WIOLX","Female",False,True,False
"3091-FYHKI","Male",False,False,False
"2372-HWUHI","Male",False,False,False
"0390-DCFDQ","Female",True,True,True
"4080-OGPJL","Female",False,False,False
"2135-RXIHG","Male",False,False,False
"3874-EQOEP","Male",False,False,True
"0867-MKZVY","Female",False,True,True
"3376-BMGFE","Female",False,False,True
"3445-HXXGF","Male",True,True,False
"1875-QIVME","Female",False,True,True
"0691-JVSYA","Female",False,True,False
"2656-FMOKZ","Female",True,False,True
"2070-FNEXE","Female",True,False,True
"6317-YPKDH","Female",False,False,False
"9367-WXLCH","Male",False,False,True
"1918-ZBFQJ","Female",False,False,True
"1024-GUALD","Female",False,True,False
"2472-OVKUP","Male",False,True,True
"1285-OKIPP","Male",False,False,True
"7825-ECJRF","Female",False,False,True
"7841-TZDMQ","Male",False,False,False
"9408-SSNVZ","Female",False,False,True
"0742-MOABM","Male",False,True,False
"2232-DMLXU","Female",False,True,False
"8937-RDTHP","Male",False,False,True
"1251-KRREG","Male",False,False,False
"0094-OIFMO","Female",True,False,True
"9947-OTFQU","Male",True,False,False
"0322-YINQP","Male",False,False,False
"4629-NRXKX","Female",False,True,False
"9514-JDSKI","Male",True,True,False
"4959-JOSRX","Female",False,True,False
"7273-TEFQD","Male",True,False,False
"3606-TWKGI","Male",True,False,False
"6323-AYBRX","Male",False,False,False
"4385-GZQXV","Female",True,False,False
"6366-ZGQGL","Male",False,False,False
"5940-AHUHD","Male",False,False,False
"6432-TWQLB","Male",False,True,False
"4484-GLZOU","Female",False,True,False
"9512-UIBFX","Male",False,True,False
"5583-SXDAG","Male",False,True,False
"3488-PGMQJ","Male",True,False,False
"3580-REOAC","Male",False,False,False
"7534-BFESC","Male",True,False,False
"6390-DSAZX","Female",False,False,False
"8098-LLAZX","Female",True,False,False
"0265-EDXBD","Male",True,True,False
"7563-BIUPC","Male",False,False,False
"2321-OMBXY","Female",False,True,False
"2840-XANRC","Male",True,True,False
"5020-ZSTTY","Female",True,False,False
"5804-LEPIM","Female",True,False,False
"0122-OAHPZ","Female",False,False,False
"2868-SNELZ","Female",False,False,False
"4322-RCYMT","Male",False,True,False
"6680-NENYN","Female",False,False,False
"1343-EHPYB","Male",False,True,False
"2034-GDRCN","Female",False,False,False
"0219-YTZUE","Male",False,True,False
"0623-IIHUG","Female",True,False,False
"4572-DVCGN","Female",False,False,False
"9057-MSWCO","Male",True,True,False
"1010-DIAUQ","Male",False,False,False
"0259-GBZSH","Male",False,False,False
"9601-BRXPO","Female",False,True,False
"6905-NIQIN","Male",False,False,False
"5167-ZFFMM","Male",False,False,False
"4895-TMWIR","Male",True,True,False
"0533-BNWKF","Female",True,True,False
"6599-CEBNN","Female",False,False,False
"0979-PHULV","Male",False,True,False
"4800-VHZKI","Female",False,False,False
"7989-CHGTL","Male",False,False,False
"0334-GDDSO","Male",True,False,False
"0578-SKVMF","Female",False,True,False
"5564-NEMQO","Female",True,False,False
"9063-ZGTUY","Female",False,True,False
"2957-LOLHO","Male",False,False,False
"7752-XUSCI","Female",False,False,False
"4110-PFEUZ","Female",False,False,False
"0256-LTHVJ","Female",False,True,False
"0880-TKATG","Male",False,True,False
"3811-VBYBZ","Male",False,False,False
"4640-UHDOS","Female",False,True,False
"3583-EKAPL","Male",False,False,False
"9399-APLBT","Female",False,True,False
"2359-KMGLI","Male",False,False,False
"0306-JAELE","Male",False,False,False
"6227-HWPWX","Female",False,False,False
"0447-BEMNG","Female",False,True,False
"5949-XIKAE","Female",False,True,False
"8372-JUXUI","Male",False,False,False
"0388-EOPEX","Female",False,True,False
"8205-OTCHB","Male",False,False,False
"6235-VDHOM","Female",True,False,False
"7783-YKGDV","Female",False,False,False
"5609-CEBID","Female",True,False,False
"7218-HKQFK","Male",False,True,False
"4636-QRJKY","Female",False,True,False
"5956-VKDTT","Female",True,True,False
"9412-GHEEC","Male",False,False,False
"0257-ZESQC","Female",True,True,False
"6825-UYPFK","Female",False,False,False
"8397-MVTAZ","Male",False,True,False
"9282-IZGQK","Female",False,False,False
"1342-JPNKI","Male",False,False,False
"2817-NTQDO","Male",False,False,False
"6986-IJDHX","Male",False,True,False
"5301-GAUUY","Male",False,False,False
"0939-YAPAF","Female",False,False,False
"4710-FDUIZ","Male",False,True,False
"1218-VKFPE","Female",False,True,False
"3627-FHKBK","Female",False,False,False
"2865-TCHJW","Female",True,False,False
"5192-EBGOV","Female",True,False,False
"0719-SYFRB","Female",False,False,False
"3419-SNJJD","Female",True,True,False
"6543-CPZMK","Male",False,True,False
"4765-OXPPD","Female",False,True,False
"1009-IRMNA","Female",False,False,False
"4554-YGZIH","Male",True,True,False
"5099-BAILX","Male",True,True,False
"7207-RMRDB","Female",False,True,False
"4913-EHYUI","Male",True,True,False
"0195-IESCP","Male",False,True,False
"4580-TMHJU","Female",False,True,False
"0970-ETWGE","Male",False,False,False
"1626-ERCMM","Male",True,True,False
"0887-HJGAR","Male",False,False,False
"5644-PDMZC","Female",True,False,False
"9576-ANLXO","Female",False,False,False
"2024-BASKD","Female",False,False,False
"4160-AMJTL","Female",True,False,False
"4464-JCOLN","Male",False,True,False
"5650-VDUDS","Female",False,False,False
"7538-GWHML","Female",False,False,False
"3859-CVCET","Female",False,False,False
"3276-HDUEG","Female",False,False,False
"0823-HSCDJ","Male",True,False,False
"0822-GAVAP","Female",False,False,False
"1448-PWKYE","Male",False,True,False
"0067-DKWBL","Male",True,False,False
"2276-YDAVZ","Female",False,False,False
"5896-NPFWW","Male",False,True,False
"7133-VBDCG","Female",False,False,False
"1029-QFBEN","Male",False,False,False
"4952-YSOGZ","Female",False,True,False
"1589-AGTLK","Male",False,False,False
"5244-IRFIH","Male",True,True,False
"2684-EIWEO","Female",True,False,False
"6439-GTPCA","Female",False,False,False
"5138-WVKYJ","Male",False,False,False
"6683-VLCTZ","Male",True,False,False
"2189-WWOEW","Female",False,False,False
"1894-IGFSG","Female",False,False,False
"7379-POKDZ","Male",False,True,False
"0236-HFWSV","Male",False,False,False
"3900-AQPHZ","Female",False,False,False
"5842-POCOP","Female",False,True,False
"2037-XJFUP","Male",False,True,False
"7314-OXENN","Male",False,False,False
